2354 : 4: 0.00 cm

2420 : LDir:  | LCount: 0 | RDir:  | RCount: 0
23516 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

23645 : LDir: CW | LCount: 7 | RDir: CW | RCount: 8

23723 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

23839 : LDir: CW | LCount: 6 | RDir: CW | RCount: 7

23887 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

24018 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

24067 : S1: 0.00 cm | S2: 45.00 cm | S3: 0.00 cm | S4: 0.00 cm

24204 : LDir: CW | LCount: 8 | RDir: CW | RCount: 7

24262 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

24373 : LDir: CW | LCount: 9 | RDir: CW | RCount: 8

24432 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

24573 : LDir: CW | LCount: 8 | RDir: CW | RCount: 7

24621 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

24755 : LDir: CCW | LCount: -5 | RDir: CW | RCount: -1

24809 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

24905 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24988 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

25097 : LDir: CW | LCount: -1 | RDir: CCW | RCount: -6

25152 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

25282 : LDir: CCW | LCount: -8 | RDir: CCW | RCount: -7

25331 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

25460 : LDir: CCW | LCount: -6 | RDir: CCW | RCount: -6

25537 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

